Seq#	Kingdom	Phylum	Class	Order	Family	Genus	Species	V8	V9	V10	V11	V12	V13
Seq_14	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	NA	100	100	100	100	100	100
Seq_15	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Promicromonospora	NA	100	100	100	100	100	100
Seq_16	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100
Seq_17	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Promicromonospora	NA	100	100	100	100	100	100
Seq_18	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100
Seq_19	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Duganella	zoogloeoides	100	100	100	100	100	95
Seq_20	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter	NA	100	100	100	100	100	100
Seq_21	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	NA	100	100	100	100	100	71
Seq_22	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Duganella	zoogloeoides	100	100	100	100	100	89
Seq_23	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	NA	100	100	100	100	98	94
Seq_24	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100
Seq_25	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	100	100	100	100	100	100
Seq_26	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	rivuli	100	100	100	100	100	99
Seq_27	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100
Seq_28	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia/Shigella	NA	100	100	100	100	100	95
Seq_29	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100
Seq_30	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Cryobacterium	NA	100	100	100	100	100	99
Seq_31	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Achromobacter	NA	100	100	100	100	100	99
Seq_32	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA	100	100	100	100	100	100
Seq_33	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA	100	100	100	100	100	48
Seq_34	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Polaromonas	NA	100	100	100	100	100	61
Seq_35	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodopseudomonas	NA	100	100	100	100	100	99
Seq_36	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100
Seq_37	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Neorhizobium	NA	100	100	100	100	100	97
Seq_38	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Duganella	NA	100	100	100	100	100	100
Seq_39	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100
Seq_40	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Variovorax	NA	100	100	100	100	100	85
Seq_41	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Achromobacter	NA	100	100	100	100	100	100
Seq_42	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	NA	100	100	100	100	100	98
Seq_43	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	johnsoniae	100	100	100	100	100	98
Seq_44	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	100	100	100	100	100	31
Seq_45	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	100	100	100	100	100	93
Seq_46	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Duganella	NA	100	100	100	100	100	74
Seq_47	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	westerhofensis	100	100	100	100	100	85
Seq_48	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA	100	100	100	100	100	100
Seq_49	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	NA	100	100	100	100	100	87
Seq_50	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	NA	100	100	100	100	100	99
Seq_51	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	subsaxonicum	100	100	100	100	100	100
Seq_52	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Methylophilaceae	MM1	NA	100	100	100	100	96	53
Seq_53	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter	NA	100	100	100	100	100	95
Seq_54	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Promicromonospora	NA	100	100	100	100	100	100
Seq_55	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100
Seq_56	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100
Seq_57	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Aetherobacter	rufus	100	100	100	100	100	100
Seq_58	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Kaistiaceae	Kaistia	NA	100	100	100	100	100	100
Seq_59	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	NA	100	100	100	100	100	88
Seq_60	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	NA	100	100	100	100	100	100
Seq_61	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Galbitalea	NA	100	100	100	100	100	98
Seq_62	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100
Seq_63	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	100	100	100	100	100	96
Seq_64	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Tardiphaga	robiniae	100	100	100	100	100	99
Seq_65	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	panaciterrae	100	100	100	100	100	100
Seq_66	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	100	100	100	100	100	99
Seq_67	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	NA	100	100	100	100	100	65
Seq_68	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	NA	NA	100	100	100	100	100	55
Seq_69	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	100	100	100	100	100	62
Seq_70	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter	hamtensis	100	100	100	100	100	100
Seq_71	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Galbitalea	NA	100	100	100	100	100	57
Seq_72	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA	NA	100	100	100	100	100	13
Seq_73	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	NA	100	100	100	100	100	88
Seq_74	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	100	100	100	100	97	15
Seq_75	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	NA	100	100	100	100	100	100
Seq_76	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	NA	NA	100	100	100	100	100	90
Seq_77	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA	NA	100	100	100	100	100	49
Seq_78	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	NA	100	100	100	100	100	100
Seq_79	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Parafrigoribacterium	NA	100	100	100	100	100	51
Seq_80	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	NA	100	100	100	100	100	100
Seq_81	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Olivibacter	soli	100	100	100	100	100	87
Seq_82	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	100	100	100	100	100	25
Seq_83	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	gynuensis	100	100	100	100	100	100
Seq_84	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	NA	NA	NA	100	100	100	100	100	100
Seq_85	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100
Seq_86	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	100	100	100	100	100	99
Seq_87	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	NA	100	100	100	100	100	74
Seq_88	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	hercynium	100	100	100	100	100	100
Seq_89	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA	NA	100	100	100	100	100	40
Seq_90	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	NA	100	100	100	100	100	100
Seq_91	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Rhodoferax	NA	100	100	100	100	100	95
Seq_92	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	NA	100	100	100	100	100	100
Seq_93	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	100
Seq_94	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	100	100	100	100	100	96
Seq_95	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	NA	100	100	100	100	100	100
Seq_96	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	100	100	100	100	100	61
Seq_97	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	100	100	100	100	100	100
Seq_98	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	100	100	100	100	100	24
Seq_99	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	NA	100	100	100	100	100	97
Seq_100	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Pseudoflavitalea	NA	100	100	100	100	100	100
Seq_101	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100
Seq_102	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	100	100	100	100	100	52
Seq_103	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	flavus	100	100	100	100	100	100
Seq_104	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100
Seq_105	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	NA	100	100	100	100	100	100
Seq_106	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Roseateles	NA	100	100	100	100	100	67
Seq_107	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineosporia	mesophila	100	100	100	100	100	99
Seq_108	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	Ohtaekwangia	NA	100	100	100	100	100	56
Seq_109	Bacteria	Proteobacteria	Gammaproteobacteria	R7C24	NA	NA	NA	100	100	100	100	100	100
Seq_110	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA	100	100	100	100	100	100
Seq_111	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	haematophilum	100	100	100	100	100	57
Seq_112	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	NA	100	100	100	100	98	91
Seq_113	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100
Seq_114	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	100	100	100	100	100	86
Seq_115	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Oxalicibacterium	NA	100	100	100	100	100	87
Seq_116	Bacteria	NA	NA	NA	NA	NA	NA	53	33	20	18	14	13
Seq_117	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Acidibacter	NA	100	100	100	98	98	98
Seq_118	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Duganella	radicis	100	100	100	100	100	98
Seq_119	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	NA	100	100	100	100	100	94
Seq_120	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	NA	100	100	100	100	100	97
Seq_121	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Methylophilaceae	Methylotenera	versatilis	100	100	100	100	100	100
Seq_122	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter	NA	100	100	100	100	100	100
Seq_123	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Rhizobacter	NA	100	100	100	100	100	71
Seq_124	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Neorhizobium	NA	100	100	100	100	100	62
Seq_125	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	99	99	99
Seq_126	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA	100	100	100	100	100	36
Seq_127	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	100	100	100	100	100	100
Seq_128	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Polaromonas	NA	100	100	100	100	100	99
Seq_129	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA	NA	100	100	100	100	100	48
Seq_130	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	100	100	100	100	100	73
Seq_131	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	100	100	100	100	100	98
Seq_132	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA	100	100	100	100	100	36
Seq_133	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	NA	NA	NA	100	100	100	100	100	100
Seq_134	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100
Seq_135	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	100	100	100	100	100	93
Seq_136	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA	100	100	100	100	100	97
Seq_137	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	NA	NA	100	100	100	100	100	46
Seq_138	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	NA	100	100	100	100	100	100
Seq_139	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineosporia	NA	100	100	100	100	100	100
Seq_140	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	NA	NA	NA	100	100	100	100	100	100
Seq_141	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	NA	100	100	100	100	100	80
Seq_142	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	100	100	100	99	99	93
Seq_143	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	NA	NA	100	100	100	100	100	71
Seq_144	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	100	100	100	100	100	100
Seq_145	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA	100	100	100	100	100	100
Seq_146	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	NA	100	100	100	100	100	95
Seq_147	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA	NA	95	95	94	94	94	94
Seq_148	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	100	100	100	100	100	96
Seq_149	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	NA	100	100	100	100	100	80
Seq_150	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	100	100	100	100	100	92
Seq_151	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	NA	100	100	100	100	98	96
Seq_152	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	NA	100	100	100	100	100	87
Seq_153	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	insulae	100	100	100	100	100	95
Seq_154	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Herbiconiux	NA	100	100	100	100	100	76
Seq_155	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	84
Seq_156	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	staleyi	100	100	100	100	100	100
Seq_157	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	ramosus	100	100	100	100	100	93
Seq_158	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Bosea	NA	100	100	100	100	100	100
Seq_159	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	NA	100	100	100	100	100	100
Seq_160	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	NA	100	100	100	100	100	62
Seq_161	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Pyrinomonadales	Pyrinomonadaceae	RB41	NA	100	100	100	100	100	100
Seq_162	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Acidibacter	NA	100	100	100	100	100	100
Seq_163	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	NA	NA	100	100	100	100	100	47
Seq_164	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	NA	100	100	100	100	100	100
Seq_165	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	NA	NA	100	100	100	100	100	84
Seq_166	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	NA	100	100	100	100	100	100
Seq_167	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	NA	100	100	100	100	100	100
Seq_168	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	MND1	NA	100	100	100	100	100	100
Seq_169	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	neptuniae	100	100	100	100	100	90
Seq_170	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	NA	NA	100	100	100	100	100	47
Seq_171	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Pseudorhodoferax	NA	100	100	100	100	100	99
Seq_172	Bacteria	Chloroflexi	KD4-96	NA	NA	NA	NA	100	100	100	100	100	100
Seq_173	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	NA	100	100	100	100	100	100
Seq_174	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	100	100	100	100	100	93
Seq_175	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter	NA	100	100	100	100	100	100
Seq_176	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA	100	100	100	100	100	100
Seq_177	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	NA	100	100	100	100	100	100
Seq_178	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodopseudomonas	NA	100	100	100	100	100	50
Seq_179	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	NA	100	100	100	100	100	100
Seq_180	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola	NA	100	100	100	100	100	79
Seq_181	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	NA	100	100	100	100	100	100
Seq_182	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	fulvus	100	100	100	100	100	100
Seq_183	Bacteria	Proteobacteria	Gammaproteobacteria	R7C24	NA	NA	NA	100	100	100	100	100	100
Seq_184	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA	100	100	100	80	80	27
Seq_185	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	NA	100	100	100	100	100	100
Seq_186	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	boeckii	100	100	100	100	100	70
Seq_187	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter	beijingensis	100	100	100	100	100	100
Seq_188	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA	100	100	100	100	100	81
Seq_189	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Rhodoferax	ferrireducens	100	100	100	100	100	65
Seq_190	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	NA	100	100	100	100	100	99
Seq_191	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Aetherobacter	NA	100	100	100	100	100	100
Seq_192	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Filimonas	NA	100	100	100	100	100	98
